,text,labels
35,"Mice receiving splenocytes tolerized toward Hep3B cells , as manifested by reduced serum HBs antibody levels , reduced HBV-specific stimulation index and reduced HBV-specific-IFN gamma spot-forming cells , had early tumor growth evident by elevated AFP serum levels , weight loss and mortality , which were suppressed at 6 weeks .
",
36,"Mice transplanted with splenocytes tolerized toward HBV antigens did not have direct evidence of tumor growth .
",
37,"Induction of oral tolerance toward HCC-extracted proteins enabled transient tumor growth in this model .
",
38,"This effect was mediated through downregulation of the anti-HBV immune response .
",Avoiding immune destruction--Immune response
39,"The secretion of immunosuppressive factors like transforming growth factor-beta ( TGF-beta ) by tumor cells has been recognized as one of the mechanisms involved in tumor immunological escape .
",
40,"This study aimed to examine whether dendritic cell ( DC ) immunization could reverse TGF-beta-induced immunosuppression by simulating the in vivo interaction among infused DCs , host T cells , and tumor-secreted TGF-beta in an in vitro study .
",
41,"We found that both immature and mature DCs were relatively resistant to TGF-beta .
",Sustaining proliferative signaling--Growth factors growth promoting signals--
42,"The addition of TGF-beta to naive human CD4+ T cells , which are required by genetically modified DC to elicit antitumor immunity , resulted in their hyporesponsiveness to DC stimulation in a dose-dependent manner .
","Sustaining proliferative signaling--Growth factors growth promoting signals--,Avoiding immune destruction--Immune response"
43,"When activated by allogeneic DCs in the presence of TGF-beta , CD4+ T cells displayed a reduced capacity to proliferate .
",
44,"More importantly , activated CD4+ T cells induced by DC stimulation were very sensitive to TGF-beta , and this susceptibility was enhanced by their previous exposure to TGF-beta .
","Avoiding immune destruction--Immune response,Sustaining proliferative signaling--Growth factors growth promoting signals--"
45,"The underlying mechanism was linked to TGF-beta-induced apoptosis of activated T cells .
","Resisting cell death--Apoptosis,Sustaining proliferative signaling--Growth factors growth promoting signals--"
46,"However , the presence of stimulation from DC or antibodies to CD3 plus CD28 could partly reverse the immunosuppressive effect of TGF-beta on activated CD4+ T cells .
",Avoiding immune destruction--Immunosuppression
47,"Taken together , our results indicate that the efficacy of DC immunization may be impaired by tumor-derived TGF-beta .
",
48,"To characterize the impact of increased production of TGF-beta in a xenograft model of human breast cancer , TGF-beta-responsive MDA-231 cells were genetically modified by stable transfection so as to increase their production of active TGF-beta1 .
",
49,"Compared with control cells , cells that produced increased amounts of TGF-beta proliferated in vitro more slowly .
",Sustaining proliferative signaling--Growth factors growth promoting signals--
50,"In vivo , however , tumors derived from these cells exhibited increased proliferation and grew at an accelerated pace .
",
51,"To evaluate the role of autocrine TGF-beta signaling , cells were also transfected with a dominant-negative truncated type II TGF-beta receptor ( TbetaRII ) .
",
52,"Disruption of autocrine TGF-beta signaling in the TGF-beta-overexpressing cells reduced their in vivo growth rate .
",Sustaining proliferative signaling--Growth factors growth promoting signals--
53,"Co-inoculation of Matrigel with the TGF-beta-overexpressing cells expressing the truncated TbetaRII compensated for their diminished in vivo growth capacity , compared with the TGF-beta-overexpressing cells with an intact autocrine loop .
",
54,"Tissue invasion by the tumor was a distinctive feature of the TGF-beta-overexpressing cells , whether or not the autocrine loop was intact .
","Activating invasion and metastasis--Invasion,Sustaining proliferative signaling--Growth factors growth promoting signals--"
55,"Furthermore , tumors derived from TGF-beta-overexpressing cells , irrespective of the status of the autocrine TGF-beta-signaling pathway , had a higher incidence of lung metastasis .
","Activating invasion and metastasis--Metastasis,Sustaining proliferative signaling--Growth factors growth promoting signals--"
56,"Consistent with the suggestion that TGF-beta's enhancement of invasion and metastasis is paracrine-based , we observed no significant differences among the cell clones in an in vitro invasion assay .
",Activating invasion and metastasis--
57,"Thus , in this experimental model system in vitro assays of cell proliferation and invasion do not accurately reflect in vivo observations , perhaps due to autocrine and paracrine effects of TGF-beta that influence the important in vivo-based phenomena of tumor growth , invasion , and metastasis .
",
58,"The involvement of PRL in regulating monocyte/macrophage functions is suggested by the presence of PRL-Rs in these cells .
",
59,"Here , we show that PRL , though it failed to activate mouse peritoneal resident macrophages ( RMs ) , acted as a second signal and activated mouse peritoneal inflammatory macrophages ( EMs ) to a tumoricidal state .
",Tumor promoting inflammation--Inflammation--
60,"The cytotoxicity of mouse tumor-associated macrophages ( TAMs ) isolated at day 1 of tumor ( Ehrlich ascites carcinoma , EAC ) growth was enhanced by PRL .
",
61,"However , with progression of tumor growth , TAMs became nonresponsive to the hormone .
",
62,"PRL-induced killing of P815 target cells by EMs and TAMs was independent of TNF but correlated with the hormone-induced augmentation of NO2(-) and O2(-) release in these macrophages .
",
63,"Administration of PRL in vivo inhibited EAC growth and augmented NO2(-) release by TAMs .
",
64,"PRL synergized with the TH1 cytokine IFN-gamma , a known activator of macrophages , in inducing tumor killing and release of NO2(-) from EMs and TAMs .
",
65,"The hormone might activate macrophages at least partially , through the release of IFN-gamma as anti-IFN-gamma blocked IFN-gamma- as well as PRL-induced cytotoxicity in EMs .
",
66,"The TH2 cytokine IL-4 suppressed PRL-induced activation of macrophages .
",
67,"PRL induced release of IL-12 from EMs also , which suggested that the hormone might drive the TH1 response through IL-12 .
",
68,"Our observations further suggest that PRL alone and in synergy with IFN-gamma , released through induction of IL-12 , may generate tumoricidal macrophages and thus regulate the antitumor immune response of tumor hosts .
",Tumor promoting inflammation--Immune response
69,"Primary fibroblasts respond to activated H-RAS(V12) by undergoing premature arrest , which resembles replicative senescence .
",
70,"This irreversible ' fail-safe mechanism ' requires p19(ARF) , p53 and the Retinoblastoma ( Rb ) family : upon their disruption , RAS(V12)-expressing cells fail to undergo senescence and continue to proliferate .
",
71,"Similarly , co-expression of oncogenes such as c-MYC or E1A rescues RAS(V12)-induced senescence .
",
72,"To identify novel genes that allow escape from RAS(V12)-induced senescence , we designed an unbiased , retroviral complementary DNA library screen .
",
73,"We report on the identification of DRIL1 , the human orthologue of the mouse Bright and Drosophila dead ringer transcriptional regulators .
",
74,"DRIL1 renders primary murine fibroblasts unresponsive to RAS(V12)-induced anti-proliferative signalling by p19(ARF)/p53/p21(CIP1) , as well as by p16(INK4a) .
",
75,"In this way , DRIL1 not only rescues RAS(V12)-induced senescence but also causes these fibroblasts to become highly oncogenic .
",Enabling replicative immortality--Senescence
76,"Furthermore , DRIL1 immortalizes mouse fibroblasts , in the presence of high levels of p16(INK4a) .
",Enabling replicative immortality--Immortalization
77,"Immortalization by DRIL1 , whose product binds the pRB-controlled transcription factor E2F1 ( ref. 8 ) , is correlated with induction of E2F1 activity .
",Enabling replicative immortality--Immortalization
78,"Correspondingly , DRIL1 induces the E2F1 target Cyclin E1 , overexpression of which is sufficient to trigger escape from senescence .
","Sustaining proliferative signaling--Cell cycle,Enabling replicative immortality--Senescence"
79,"Thus , DRIL1 disrupts cellular protection against RAS(V12)-induced proliferation downstream of the p19(ARF)/p53 pathway .
",
80,"Oncostatin M ( OSM ) , an interleukin-6 type cytokine , acts via the gp130 signaling receptor to inhibit proliferation and induce differentiation of breast cancer cells .
",
81,"EGF , a mitogen for breast cells , signals via EGFR/ErbB tyrosine kinase receptors which are implicated in breast cancer pathogenesis .
",
82,"Here we show paradoxically that EGF enhanced the OSM-induced inhibition of proliferation and induction of cellular differentiation in both estrogen receptor positive and negative breast cancer cells .
","Sustaining proliferative signaling--Growth factors growth promoting signals--,Sustaining proliferative signaling--Receptors"
83,"This functional synergism was also seen with heregulin but not SCF , PDGF or IGF-1 , indicating that it was specific to EGF-related growth factors .
",Sustaining proliferative signaling--Growth factors growth promoting signals--
84,"Immunoprecipitation experiments revealed that gp130 was constitutively associated with ErbB-2 and ErbB-3 .
",
85,"There was a similar association between the OSMRbeta and ErbB-2 .
",
86,"Furthermore , EGF unexpectedly induced tyrosine phosphorylation of gp130 .
",
87,"We show that OSM induced phosphorylation of STAT3 .
",
88,"Both OSM and EGF activated the p42/44 MAP kinases , but while the MEK inhibitor , PD98059 , ablated the OSM-induced inhibition , it only partially ablated the inhibitory effects of OSM plus EGF .
",
89,"Thus , we have demonstrated that the receptors and signalling pathways of two apparently unrelated growth factors were intimately linked , resulting in an unexpected biological effect .
","Sustaining proliferative signaling--Receptors,Sustaining proliferative signaling--Growth factors growth promoting signals--"
90,"This provides a new mechanism for generating signalling diversity and has potential clinical implications in breast cancer .
",
91,"p53 is a tumor suppressor gene that is mutated in many human malignancies , including gastric cancer .
",
92,"It remains unclear why patients with germ-line p53 mutations ( i.e. , Li-Fraumeni syndrome ) are not at increased risk for gastric adenocarcinoma , despite the fact that they show a high rate of many other tumors .
",
93,"Furthermore , the precise relationship between germ-line p53 mutations and the response to chronic bacterial infections ( such as Helicobacter spp. ) has not been investigated .
",
94,"To assess the role of germ-line p53 deletions in modulating the progression to gastric cancer , p53(+/-) and wild-type ( WT ) C57BL/6 mice were infected with H. felis .
",
95,"The gastric pathology and immune response in these two groups of mice were analyzed for up to 15 months postinfection .
",
96,"The gastric fundus and antrum were evaluated independently using a 0-4 scale to score inflammation , parietal and chief cell loss , mucus metaplasia , and helicobacter colonization .
",
97,"Nonparametric statistical analysis was performed to determine the effects of p53(+/-) , infection status , and postinoculation ( p.i. ) time on inflammation , preneoplastic changes , invasive lesions , and helicobacter colonization. mRNA expression for gammaIFN , interleukin ( IL)-1 , IL-10 , and IL-4 was quantified by PCR .
",
98,"Sera were also evaluated for H. felis antibody by ELISA .
",
99,"Antral inflammation increased significantly with time in infected mice .
",Tumor promoting inflammation--Inflammation--
100,"There was a significant , protective effect on the development of preneoplastic fundic lesions and invasive carcinoma attributable to the deletion of one p53 allele ( P < 0.05 ) .
",Activating invasion and metastasis--Invasion
101,"Submucosal invasive foci were observed in 9 of 11 WT-infected mice ranging from 13 to 15 months p.i. ; invasion of adjacent submucosal blood vessels by glandular epithelia also was present in 5 of these mice .
",Activating invasion and metastasis--Invasion
102,"None of these lesions were observed in 33 p53(+/-) mice , infected or not , at any time p.i. p53(+/-) mice had significantly higher helicobacter colonization consistent with a Th2 host response .
",
103,"In sera from WT mice , IgG2a , considered a proinflammatory Th1 response , continued to rise throughout the 15-month study ( P < 0.004 ) .
",Tumor promoting inflammation--Inflammation--
104,"In contrast , IgG2a levels of the p53(+/-) mice were 50-60% lower than those of the WT mice at each time point ( P range , <0.012 to 0.002 ) and did not progress in magnitude between 12 and 15 months of chronic H. felis infection ( P = 0.167). mRNA levels for gammaIFN and IL-1 were significantly up-regulated in WT mice infected with H. felis ( P < 0.05 ) but were slightly elevated or were at background levels in p53(+/-) mice .
",
105,"IL-10 and IL-4 mRNA expression was not significantly different from control samples .
",
106,"Our results support the hypothesis that germ-line deletion of one p53 allele results in a down-regulated Th1 response to gastric helicobacter infection , possibly because of T-cell senescence , which may indirectly protect against the development of gastric cancer and other epithelial-derived neoplasms associated with chronic inflammation .
","Enabling replicative immortality--Senescence,Tumor promoting inflammation--Inflammation--"
107,"Cellular senescence forms a barrier that inhibits the acquisition of an immortal phenotype , a critical feature in tumorigenesis .
",
108,"The inactivation of multiple pathways that positively regulate senescence are required for immortalization .
",
109,"To identify these pathways in an unbiased manner , we performed DNA microarray analyses to assess the expression of 20,000 genes in human prostate epithelial cells ( HPECs ) passaged to senescence .
",
110,"These gene expression patterns were then compared with those of HPECs immortalized with the human Papillomavirus 16 E7 oncoprotein .
",
111,"Senescent cells display gene expression patterns that reflect their nonproliferative , differentiated phenotype and express secretory proteases and extracellular matrix components .
",
112,"A comparison of genes transcriptionally up-regulated in senescence to those in which expression is significantly down-regulated in immortalized HPECs identified three genes : the chemokine BRAK , DOC1 , and a member of the insulin-like growth factor axis , IGFBP-3 .
","Enabling replicative immortality--Senescence,Enabling replicative immortality--Immortalization"
113,"Expression of these genes is found to be uniformly lost in human prostate cancer cell lines and xenografts , and previously , their inactivation was documented in tumor samples .
",
114,"Thus , these genes may function in novel pathways that regulate senescence and are inactivated during immortalization .
","Enabling replicative immortality--Senescence,Enabling replicative immortality--Immortalization"
115,"These changes may be critical not only in allowing cells to bypass senescence in vitro but in the progression of prostate cancer in vivo .
",Enabling replicative immortality--Senescence
116,"Overexpression and amplification of cyclin D1 were investigated by immunohistochemistry and differential polymerase chain reaction ( dPCR ) in 440 formalin-fixed primary breast carcinoma tissues .
",
117,"Overexpression of cyclin D1 was detected in 60% ( 263/440 ) and amplification of cyclin D1 was noted in 27% ( 119/440 ) of the primary breast carcinomas .
",Sustaining proliferative signaling--Cell cycle
118,"Molecular analysis demonstrated that cyclin D1 was amplified in 30% ( 7/23 ) of the comedo DCIS , 22% ( 9/41 ) of the comedo DCIS and 32% ( 13/41 ) of the adjacent invasive ductal carcinomas , 30% ( 82/270 ) of the invasive ductal carcinomas , 27% ( 9/33 ) of the invasive lobular carcinomas , 19% ( 4/21 ) of the colloid carcinomas and 13% ( 2/15 ) of the medullary carcinomas .
",
119,"Cyclin D1 was amplified in 11% ( 2/19 ) of the invasive ductal carcinomas but not in the adjacent non-comedo DCIS lesions .
",
120,"Our observation showed that cyclin D1 was strongly positive in 61% ( 14/23 ) of the comedo subtype , 61% ( 11/18 ) of the non-comedo subtype , 59% ( 24/41 ) of the comedo DCIS and 63% ( 26/41 ) of the adjacent invasive ductal carcinomas , 53% ( 10/19 ) of the non-comedo DCIS and 58% ( 11/19 ) of the adjacent invasive lesions , 58% ( 157/270 ) of the invasive ductal carcinomas , 73% ( 24/33 ) of the invasive lobular carcinomas , 52% ( 11/21 ) of the colloid carcinomas and 27% ( 4/15 ) of the medullary carcinomas .
",
121,"A significant association was observed between in situ components and adjacent invasive lesions for cyclin D1 expression ( p<0.05 ) and amplification ( p<0.05 ) .
",
122,"A significant relationship was noted between amplification of cyclin D1 and lymph node metastases ( p<0.05 ) but not with histological grade ( p>0.05 ) , estrogen receptor status ( p>0.05 ) and proliferation index ( Ki-67 and PCNA ) ( p>0.05 ) .
","Activating invasion and metastasis--Metastasis,Sustaining proliferative signaling--Cell cycle"
123,"However , overexpression of cyclin D1 was statistically associated with well differentiated tumors ( p<0.05 ) and estrogen receptor positivity ( p<0.05 ) .
","Sustaining proliferative signaling--Receptors,Sustaining proliferative signaling--Cell cycle"
124,"No relationship was seen with nodal status ( p>0.05 ) and proliferation index ( Ki-67 and PCNA ) ( p>0.05 ) .
",
125,"These observations suggest that tumors positive for cyclin D1 protein may have features of good prognosis but amplification of cyclin D1 gene could be an indicator of tumors with poor prognostic features .
",
126,"Although majority of the Malaysian patients belong to younger age group ( <50 years old ) , amplification and expression of cyclin D1 was not statistically associated with patient age ( p>0.05 ) .
",
127,"These observations indicate that amplification and up-regulation of cyclin D1 may be independent of patient age .
",
128,"Moreover , overexpression and amplification of cyclin D1 in preinvasive , preinvasive and adjacent invasive lesions , and invasive carcinomas suggest that the gene may play an important role in early and late stages of breast carcinogenesis .
","Activating invasion and metastasis--Invasion,Sustaining proliferative signaling--Cell cycle"
129,"Interferon-gamma ( IFN-gamma ) has pleiotropic activities other than its antivirus action , including cell growth inhibition , natural killer ( NK ) cell and cytotoxic T lymphocyte ( CTL ) activation , and angiogenesis inhibitory activity , and these activities are supposed to be involved in its antitumour activity .
",
130,"However , it has not been completely elucidated which activity is mainly involved in the tumour suppression in vivo .
",
131,"In this study , we analysed inhibitory mechanisms of endogenous IFN-gamma against B16 melanoma experimental metastasis .
",
132,"After intravenous injection of tumour cells , tumour deposits in the lungs and liver were increased and life span was shorter in IFN-gamma(-/-) mice , indicating important roles for IFN-gamma in antitumour mechanisms .
",
133,"Interestingly , tumour deposits were not increased in IFN-gamma receptor ( R)(-/- ) mice .
",
134,"Furthermore , only low levels of cell-mediated immunity against the tumour and activation of NK cells were observed , indicating that antimetastatic effects of IFN-gamma is not mediated by host cells .
",Activating invasion and metastasis--Metastasis
135,"The survival period of B16 melanoma-bearing IFN-gamma R(-/-) mice was , however , shorter than wild-type mice .
",
136,"These observations suggest that IFN-gamma prevents B16 melanoma experimental metastasis by directly inhibiting the cell growth , although antitumour host functions may also be involved in a later phase .
",Activating invasion and metastasis--Metastasis
137,"P53 activity plays a key role in mammalian cells when they undergo replicative senescence at their Hayflick limit .
",
138,"To determine whether p63 proteins , members of the family of p53-related genes , are also involved in this process , we examined their expression in serially passaged rat embryo fibroblasts .
",
139,"Upon senescence , two truncated DeltaNp63 proteins decreased in abundance whereas two TAp63 isoforms accumulated. 2-D gel analysis showed that the DeltaNp63 proteins underwent post-translational modifications in both proliferating and senescent cells .
",Enabling replicative immortality--Senescence
140,"Direct binding of DeltaNp63 proteins to a p53 consensus motif was greater in proliferating cells than senescent cells .
",Enabling replicative immortality--Senescence
141,"In contrast p63alpha isoforms bound to DNA in a p53 dependent manner and this was higher in senescent cells than proliferating cells .
",Enabling replicative immortality--Senescence
142,"An interaction of p63alpha proteins with SV40 large tumour antigen was also detected and ectopic expression of DeltaNp63alpha can extend the lifespan of rat embryo fibroblasts .
",
143,"Taken together the results indicate that p63 proteins may play a role in replicative senescence either by competition for p53 DNA binding sites or by direct interaction with p53 protein bound to DNA .
",Enabling replicative immortality--Senescence
144,"Mesotheliomas are malignant tumors of the pleural and peritoneal membranes which are often associated with asbestos exposure and with Simian virus 40 ( SV40 ) infection .
",
145,"Telomerase activity is repressed in somatic cells and tissues but is activated in immortal and malignant cells .
",
146,"We evaluated telomerase activity in seven primary malignant mesothelioma biopsies and matched lung specimens and 20 mesothelioma cell lines and eight corresponding primary tumor cultures .
",
147,"All the tumor biopsies , and nearly all primary cell mesothelioma cultures and cell lines were telomerase positive .
",
148,"The findings in cell lines paralleled those observed in primary cultures in cases where paired samples were available .
",
149,"Next , we found that SV40 , a DNA tumor virus present in approximately 50% of mesothelioma biopsies in the USA , induced telomerase activity in primary human mesothelial cells , but not in primary fibroblasts .
",
150,"Telomerase activity became detectable as early as 72 h following wild-type ( strain 776 ) SV40 infection , and a clear DNA ladder was detectable 1 week after infection .
",
151,"The amount of telomerase activity increased during passage in cell culture and appeared to parallel increases in the cellular amounts of the SV40 large T-antigen .
",
152,"Thus , SV40 infection leads to telomerase activity before the infected mesothelial cells become transformed and immortalized .
",Enabling replicative immortality--Immortalization
153,"SV40 infection of human fibroblasts did not cause detectable telomerase activity .
",
154,"We also determined that the SV40 small t-antigen ( tag ) plays an important role in inducing telomerase activity because this activity was undetectable or minimal in mesothelial cells infected and/or transformed by SV40 tag mutants .
",
155,"Asbestos alone did not induce telomerase activity , and asbestos did not influence telomerase activity in mesothelial cells infected with SV40 .
",
156,"Induction of telomerase activity by SV40 may be related to the very high rate of mesothelial cell immortalization that is characteristically associated with SV40 infection of mesothelial cells .
",Enabling replicative immortality--Immortalization
157,"Vascular endothelial growth factor ( VEGF ) has emerged as one of the most important angiogenic growth factors from experimental in vitro and in vivo studies .
",
158,"In the present study , we investigated the relationship between VEGF expression and microvessel density ( MVD ) and defined their prognostic relevance on a series of 242 patients with node-negative breast cancer , using immunohistochemical methods .
",
159,"In parallel , estrogen and progesterone receptors were quantitatively assessed using the dextran-charcoal technique and cell proliferation was evaluated as S-phase cell fraction according to ( 3)H-thymidine-labeling index ( TLI ) .
",
160,"The percentage of VEGF-expressing cells varied from 0-95% in the different tumors and was unrelated to menopausal status , tumor size or steroid receptor status .
",Inducing angiogenesis--By deregulating angiogenesis--Angiogenic factors
161,"Conversely , a significant inverse relation was observed with patient age or tumor cell proliferation , albeit with very poor correlation coefficients .
",
162,"A significant relation was observed between VEGF expression and MVD ( r(s) = 0.55 , p < 0.001 ) .
",
163,"Clinical outcome analyzed as a function of high and low VEGF expression showed slight differences in terms of both disease-free survival ( DFS ) and overall survival ( OS ) that never reached statistical significance .
",
164,"Moreover , the trend was paradoxically in favor of patients with highly VEGF-expressing tumors .
",
165,"Finally , DFS and OS curves , when analyzed as a function of VEGF expression or MVD , were superimposable .
",
166,"In conclusion , our study did not highlight a prognostic relevance of VEGF expression in patients with node-negative breast cancer , as already observed for MVD .
",
167,"PURPOSE We recently reported that overexpression of epidermal growth factor receptor ( EGFR ) positively correlated with radioresistance of murine carcinomas .
",
168,"Because cyclin D1 is a downstream sensor of EGFR activation , the present study investigated whether a relationship exists between the extent of cyclin D1 expression and in vivo radiocurability of murine tumors .
",
169,"We further investigated the influence of radiation on cyclin D1 expression and the expression of p27 , an inhibitor of the cyclin D1 downstream pathway , as well as the relationship of these molecular determinants to cell proliferation and induced apoptosis in tumors exposed to radiation .
",
170,"METHODS AND MATERIALS Cyclin D1 expression was assayed in nine carcinomas syngeneic to C3Hf/Kam mice using Western blot analysis .
",
171,"These tumors greatly differed in their radioresponse as assessed by TCD(50) .
",
172,"The expression of cyclin D1 and p27 proteins was determined by Western blotting .
",
173,"Cell proliferative activity in tumors was determined by proliferating cell nuclear antigen ( PCNA ) immunochemistry .
",
174,"The effect of irradiation on the expression of cyclin D1 or p27 proteins and on PCNA positivity was determined in the radiosensitive OCa-I and in the radioresistant SCC-VII tumors .
",
175,"RESULTS Cyclin D1 expression varied among tumors by 40-fold , and its magnitude positively correlated with poorer tumor radioresponse ( higher TCD(50) values ) .
",Sustaining proliferative signaling--Cell cycle
176,"The level of cyclin D1 expression paralleled that of EGFR .
","Sustaining proliferative signaling--Cell cycle,Sustaining proliferative signaling--Receptors"
177,"A 15-Gy dose reduced constitutive expression of cyclin D1 in the radiosensitive OCa-I tumors , but had no influence on expression of cyclin D1 in the radioresistant SCC-VII tumors .
",Sustaining proliferative signaling--Cell cycle
178,"In contrast , 15 Gy increased the expression of p27 in radiosensitive tumors and reduced it in radioresistant tumors .
",Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle
179,"Radiation induced no significant apoptosis or change in the percentage of PCNA-positive ( proliferating ) cells in SCC-VII tumors with high cyclin D1 levels , but it induced significant apoptosis and a decrease in the percentage of proliferating cells in OCa-I tumors with low cyclin D1 expression .
","Resisting cell death--Apoptosis,Sustaining proliferative signaling--Cell cycle"
180,"CONCLUSION Our findings show a positive correlation between cyclin D1 expression and tumor radioresistance .
",Sustaining proliferative signaling--Cell cycle
181,"The expression of cyclin D1 and p27 was modified by radiation and was associated with cellular response to radiation , but this depended on the pretreatment level of cyclin D1 expression .
","Sustaining proliferative signaling--Cell cycle,Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle"
182,"These findings may have important clinical implications : The pretreatment assessment of cyclin D1 expression could serve as a useful predictor of radiotherapy outcome and assist in selecting an effective treatment modality .
",
183,"Treatment of cells with the anti-cancer drug camptothecin ( CPT ) induces topoisomerase I ( Top1)-mediated DNA damage , which in turn affects cell proliferation and survival .
",
184,"In this report , we demonstrate that treatment of the wild-type HCT116 ( wt HCT116 ) human colon cancer cell line and the isogenic p53(-/-) HCT116 and p21(-/-) HCT116 cell lines with a high concentration ( 250 nm ) of CPT resulted in apoptosis , indicating that apoptosis occurred by a p53- and p21-independent mechanism .
",Resisting cell death--Apoptosis
